name,display_name,category,video_ref,course,seconds,pre_video_action,post_video_action
Pain Navigator Introduction,Intro,Introduction,https://player.vimeo.com/video/547224919,lbp_1,470,,
Getting Started,Getting Started,Getting Started,https://player.vimeo.com/video/547222311,lbp_1,1283,,Pain Diary
Pacing & SMART Goals,Pacing & SMART Goals,Wellness Strategies,https://player.vimeo.com/video/549646415,lbp_1,749,,SMART Goal
Excersizes Day 1,Exercises 1,Physiotherapy,https://player.vimeo.com/video/547295679,lbp_1,1758,Pain Score,Pain Score
Understanding Your Spine,Understanding Your Spine,Medical Education,https://player.vimeo.com/video/547222751,lbp_1,963,,
Yoga Day 1 Introduction,Yoga Intro,Yoga,https://player.vimeo.com/video/547268125,lbp_1,1814,,
Pain Pathways,Pain Pathways,Medical Education,https://player.vimeo.com/video/547222654,lbp_1,644,,
Exercises Day 3,Exercises 2,Physiotherapy,https://player.vimeo.com/video/547239505,lbp_1,1679,Pain Score,Pain Score
Chronic Pain & Stress and Quieting the Mind,Stress & Quieting the Mind,Wellness Strategies,https://player.vimeo.com/video/547268035,lbp_1,919,,
Yoga Day 2 Back Strength,Yoga Back Strength,Yoga,https://player.vimeo.com/video/547276010,lbp_1,1032,,
Nutrition Anti-Inflammatory Foods,Anti-Inflammatory Foods,Medical Education,https://player.vimeo.com/video/547247931,lbp_1,520,,
Exercises Day 5,Exercises 3,Physiotherapy,https://player.vimeo.com/video/547241112,lbp_1,2000,Pain Score,Pain Score
Sleep Efficiency Introduction,Sleep Efficiency,Wellness Strategies,https://player.vimeo.com/video/547222549,lbp_1,388,,
Yoga Day 3 Floor Exercises,Yoga Floor Exercises,Yoga,https://player.vimeo.com/video/547278312,lbp_1,1555,,
Sleep Efficiency Stimulus Control & Processing Strategies,Sleep Efficiency Strategies,Wellness Strategies,https://player.vimeo.com/video/547294099,lbp_1,526,,
Exercises Day 7,Exercises 4,Physiotherapy,https://player.vimeo.com/video/547254208,lbp_1,1733,Pain Score,Pain Score
Meditation 1,Meditation 1,Meditation,https://player.vimeo.com/video/547267477,med_1,512,,
Meditation 2,Meditation 2,Meditation,https://player.vimeo.com/video/547267923,med_1,456,,
Meditiation 3,Meditation 3,Meditation,https://player.vimeo.com/video/547267807,med_1,641,,
